usr_id,mentions,type
304856790,21961243,MENTIONS
24336528,16734909,MENTIONS
16590124,618537899,MENTIONS
929646993831424000,16213404,MENTIONS
151543415,42177568,MENTIONS
243882040,1146707352,MENTIONS
1323473078,16213404,MENTIONS
1010376162973892608,16213404,MENTIONS
1348666956,16213404,MENTIONS
384969455,29947296,MENTIONS
2898761366,16734909,MENTIONS
15250661,16734909,MENTIONS
2594593944,16213404,MENTIONS
175243720,3555381912,MENTIONS
373149557,63025854,MENTIONS
373149557,451586190,MENTIONS
373149557,21023891,MENTIONS
142143785,16213404,MENTIONS
228306267,16213404,MENTIONS
822293729843085313,16734909,MENTIONS
16431681,38630406,MENTIONS
16431681,15897843,MENTIONS
202131330,16213404,MENTIONS
1494336758,16213404,MENTIONS
3789793212,16213404,MENTIONS
95399839,47008273,MENTIONS
922941056,4216062853,MENTIONS
922941056,16094885,MENTIONS
922941056,1220672760,MENTIONS
887598800453255169,195635551,MENTIONS
919858469783531521,175243720,MENTIONS
21171643,16213404,MENTIONS
1360638199,27216368,MENTIONS
175243720,1466312012,MENTIONS
919858469783531521,175243720,MENTIONS
309966799,16734909,MENTIONS
255807625,95091601,MENTIONS
255807625,16734909,MENTIONS
2958986096,16213404,MENTIONS
860585446493081600,2457102062,MENTIONS
860585446493081600,3307984163,MENTIONS
860585446493081600,223429736,MENTIONS
860585446493081600,326680214,MENTIONS
1389313368,25297301,MENTIONS
1389313368,16734909,MENTIONS
1389313368,1137661725040209921,MENTIONS
6174712,16734909,MENTIONS
413755830,16734909,MENTIONS
59691543,38108726,MENTIONS
15608568,56571249,MENTIONS
15608568,16213404,MENTIONS
24640156,16213404,MENTIONS
24640156,16734909,MENTIONS
24640156,16832632,MENTIONS
2993129827,60779696,MENTIONS
426070710,16627712,MENTIONS
175243720,2460748716,MENTIONS
580800202,29420301,MENTIONS
714203470698401792,16734909,MENTIONS
219089769,178668890,MENTIONS
2857407877,16213404,MENTIONS
2857407877,16734909,MENTIONS
1000523039321161728,16213404,MENTIONS
81559648,42177568,MENTIONS
557344637,66917778,MENTIONS
557344637,167281867,MENTIONS
3166346636,16734909,MENTIONS
28793850,95766807,MENTIONS
941608664196046848,16213404,MENTIONS
373149557,63025854,MENTIONS
373149557,373149557,MENTIONS
1333360170,16734909,MENTIONS
1333360170,1137661725040209921,MENTIONS
164131639,66917778,MENTIONS
864068905,16213404,MENTIONS
1376950904,60779696,MENTIONS
17250722,16213404,MENTIONS
31367001,16627712,MENTIONS
286872483,16213404,MENTIONS
821696732505346048,16213404,MENTIONS
821696732505346048,16734909,MENTIONS
42177568,414460605,MENTIONS
362743043,304856790,MENTIONS
362743043,224592951,MENTIONS
362743043,16796812,MENTIONS
362743043,63942152,MENTIONS
362743043,47318173,MENTIONS
362743043,252833329,MENTIONS
362743043,20559705,MENTIONS
362743043,1550270612396212225,MENTIONS
362743043,49499855,MENTIONS
3714279612,16213404,MENTIONS
40408407,38108726,MENTIONS
154383048,16734909,MENTIONS
154383048,1137661725040209921,MENTIONS
205129335,16627712,MENTIONS
1404087277,373149557,MENTIONS
1404087277,63942152,MENTIONS
1404087277,246532728,MENTIONS
265931291,2402502044,MENTIONS
29714420,16213404,MENTIONS
203835977,188143601,MENTIONS
203835977,14707794,MENTIONS
203835977,16734909,MENTIONS
203835977,132655296,MENTIONS
203835977,16463397,MENTIONS
219089769,1146707352,MENTIONS
25036511,1498783029019525126,MENTIONS
18710072,823329,MENTIONS
2882986945,134646048,MENTIONS
347592110,34116377,MENTIONS
347592110,16734909,MENTIONS
347592110,16213404,MENTIONS
586138753,16213404,MENTIONS
984372566,16213404,MENTIONS
984372566,16734909,MENTIONS
23700113,16734909,MENTIONS
490004654,16213404,MENTIONS
192186952,16734909,MENTIONS
175243720,369158562,MENTIONS
1248016358,34116377,MENTIONS
2681647628,6174712,MENTIONS
2681647628,16734909,MENTIONS
373149557,21023891,MENTIONS
922941056,306616453,MENTIONS
922941056,16094885,MENTIONS
546765821,16213404,MENTIONS
364706947,16213404,MENTIONS
57871450,66917778,MENTIONS
57871450,68128023,MENTIONS
1601937732,384233102,MENTIONS
2328139452,23700113,MENTIONS
1344228505,66917778,MENTIONS
243882040,47874155,MENTIONS
877795221538447360,66917778,MENTIONS
756691491582513152,16213404,MENTIONS
16431681,42177568,MENTIONS
483275549,16734909,MENTIONS
3558168674,16734909,MENTIONS
517357328,16213404,MENTIONS
407498234,25978296,MENTIONS
3601291334,16213404,MENTIONS
60016017,16213404,MENTIONS
