usr_id,hashtags,type
3014193169,auspol,HASHTAGS
922361848703328257,qanda,HASHTAGS
1115446855,qanda,HASHTAGS
228853466,drbrendannelson,HASHTAGS
228853466,turnbull,HASHTAGS
621770560,qanda,HASHTAGS
349572767,africangangs,HASHTAGS
509319460,auspol,HASHTAGS
509319460,qanda,HASHTAGS
970113980780896256,qanda,HASHTAGS
970113980780896256,nbn,HASHTAGS
1849555482,qanda,HASHTAGS
99370007,auspol,HASHTAGS
1526946950,qanda,HASHTAGS
17361364,nbn,HASHTAGS
17361364,qanda,HASHTAGS
237612784,qanda,HASHTAGS
411304870,qanda,HASHTAGS
73981267,turnbull,HASHTAGS
73981267,q,HASHTAGS
2507342209,qanda,HASHTAGS
94070471,edgeawards,HASHTAGS
1849555482,qanda,HASHTAGS
1849555482,matteroffact,HASHTAGS
126420396,qanda,HASHTAGS
349572767,marriageequality,HASHTAGS
349572767,qanda,HASHTAGS
730692610675724289,nbn,HASHTAGS
730692610675724289,qanda,HASHTAGS
730692610675724289,auspol,HASHTAGS
922361848703328257,auspol,HASHTAGS
922361848703328257,qanda,HASHTAGS
3713091,qanda,HASHTAGS
3713091,mojowatch,HASHTAGS
2777532764,qanda,HASHTAGS
60448583,qanda,HASHTAGS
379593708,qanda,HASHTAGS
255715433,auspol,HASHTAGS
919883618,qanda,HASHTAGS
3166153645,qanda,HASHTAGS
970113980780896256,ulurustatement,HASHTAGS
922361848703328257,qanda,HASHTAGS
363008381,fizza,HASHTAGS
363008381,auspol,HASHTAGS
363008381,lnpfail,HASHTAGS
284228804,ulurustatement,HASHTAGS
2951027582,auspol,HASHTAGS
16094885,qanda,HASHTAGS
159743606,qanda,HASHTAGS
51291712,qanda,HASHTAGS
500555086,qanda,HASHTAGS
500555086,abc,HASHTAGS
158123632,turnbull,HASHTAGS
158123632,q,HASHTAGS
1007900407538962433,auspol,HASHTAGS
1007900407538962433,qanda,HASHTAGS
730692610675724289,qanda,HASHTAGS
730692610675724289,auspol,HASHTAGS
1646191236,qanda,HASHTAGS
1646191236,abc,HASHTAGS
185554632,qanda,HASHTAGS
3288075858,nbn,HASHTAGS
1034284633,climateemergency,HASHTAGS
1034284633,climatechange,HASHTAGS
1034284633,stopadani,HASHTAGS
1034284633,extinctionrebellion,HASHTAGS
95559664,qanda,HASHTAGS
95559664,abc,HASHTAGS
158871917,ulurustatement,HASHTAGS
158871917,qanda,HASHTAGS
44340706,climate,HASHTAGS
44306829,qanda,HASHTAGS
922361848703328257,qanda,HASHTAGS
188143601,turnbull,HASHTAGS
188143601,qanda,HASHTAGS
188143601,qanda,HASHTAGS
188143601,qandaextra,HASHTAGS
62711294,qanda,HASHTAGS
1293431593,qanda,HASHTAGS
1293431593,auspol,HASHTAGS
3258775758,qanda,HASHTAGS
400312531,qanda,HASHTAGS
764717481986367488,qanda,HASHTAGS
1041881043878281217,qanda,HASHTAGS
25034874,qanda,HASHTAGS
914249614848548864,qanda,HASHTAGS
914249614848548864,matteroffact,HASHTAGS
771482928018706432,springst,HASHTAGS
1058472677285990400,rowdyones,HASHTAGS
330937363,qanda,HASHTAGS
914249614848548864,qanda,HASHTAGS
369158562,potcallingkettke,HASHTAGS
369158562,fuckoffmalcolm,HASHTAGS
1007900407538962433,mentalhealth,HASHTAGS
1007900407538962433,qanda,HASHTAGS
1007900407538962433,auspol,HASHTAGS
20352984,qanda,HASHTAGS
62628195,qanda,HASHTAGS
369158562,fuckoffmalcolm,HASHTAGS
561549614,qanda,HASHTAGS
561549614,onlyfair,HASHTAGS
19050000,auspol,HASHTAGS
19050000,qanda,HASHTAGS
2507342209,climate,HASHTAGS
388125509,qanda,HASHTAGS
172081908,climatechange,HASHTAGS
172081908,auspol,HASHTAGS
172081908,qldpol,HASHTAGS
172081908,nswpol,HASHTAGS
172081908,springst,HASHTAGS
172081908,extinctionrebellion,HASHTAGS
172081908,climatestrike,HASHTAGS
172081908,thedrum,HASHTAGS
172081908,qanda,HASHTAGS
2187072026,auspol,HASHTAGS
2187072026,qanda,HASHTAGS
922361848703328257,qanda,HASHTAGS
803947171,fairdinkumpower,HASHTAGS
803947171,renewableenergy,HASHTAGS
803947171,1point5,HASHTAGS
803947171,auspol,HASHTAGS
