usr_id,hashtags
55113432,None
15248759,None
158871917,None
1584697423,None
2777532764,None
2848215810,auspol
353508962,qanda
64645945,turnbull
64645945,qanda
3145290074,None
467994710,rowdyones
2777532764,None
3192020780,None
2619185882,qanda
2619185882,auspol
34616293,None
3039250740,None
3485382014,None
1404087277,None
912342698,None
363822984,None
2777532764,None
3039250740,None
987835920983310336,None
343096504,stuntmo
825517433859432448,None
3053859156,None
969275161,None
17250722,qanda
2906724325,None
82219841,None
150844336,None
44340706,None
116421464,None
103761767,auspol
23769966,None
165655235,None
1100056406,None
1487643972,None
185554632,None
388125509,qanda
1319427601,None
1263921624,None
3087496429,qanda
3087496429,liberalparty
55113432,None
619017465,auspol
37635320,None
1044008215455780864,None
2456550114,cantfacethemusic
2456550114,qanda
715626890,qanda
1048512987093336064,None
4767543901,None
16240917,qanda
893825913019920384,africangangs
608074792,None
3002679840,None
1100007859,None
24623087,None
2812028293,None
893825913019920384,None
1100007859,9today
336233236,None
2812028293,qanda
460721800,qanda
2213249280,None
564488633,None
729104859991957505,qanda
3017117025,None
875443196,auspol
1259161086,None
729104859991957505,None
2777532764,qanda
2777532764,nbn
71172514,None
388125509,None
67166472,None
974248013240590338,None
1368100356,qanda
2906724325,None
274818120,None
159743606,qanda
1049105914026844160,None
779278891638632448,None
99367063,None
1586888442,marriageequality
875443196,None
621770560,None
987835920983310336,None
23865602,peoplepower
23865602,malcolmower
23865602,fairdinkumpower
2799319651,None
923120359808704512,rnbreakfast
923120359808704512,qanda
137777900,None
816795555582001152,None
1849555482,None
1412036527,qanda
901385391638421504,qanda
23119369,qanda
55113432,None
922361848703328257,None
2812028293,None
3163038860,None
101092370,None
58352165,None
820092093783605248,None
48673284,None
121541121,None
908203511170531329,qanda
869760641325645824,None
60448583,None
388125509,None
2685926647,qanda
99367063,usmidterms
99367063,usmidterm
99367063,uspoli
349572767,None
369158562,fuckoffmalcolm
543742109,None
922361848703328257,None
707099809,None
1738433652,qanda
405997483,None
380911204,qanda
1404087277,None
17918250,None
349572767,None
1100007859,None
3166153645,None
172081908,extinctionrebellion
172081908,climatestrike
172081908,auspol
172081908,qldpol
172081908,nswpol
172081908,springst
172081908,climateaction
172081908,thedrum
172081908,qanda
25498134,qanda
2283049465,qanda
2906724325,None
237612784,None
306600363,None
1263921624,stuntmo
159743606,None
922361848703328257,qanda
922361848703328257,matteroffact
3166153645,None
55113432,None
63941526,turnbull
63941526,qanda
1259161086,qanda
884458780657831936,None
1113341312,insiders
1113341312,insidersreading
1113341312,auspol
13495832,auspol
309621851,malcolmturnbull
309621851,breakfastnews
309621851,mathiascormann
922361848703328257,None
1348465843,None
341236445,None
869760641325645824,None
18753424,qanda
18753424,sun7
18753424,auspol
405997483,None
2507342209,None
923120359808704512,qanda
923120359808704512,abc
2733971311,None
377240272,climatechange
377240272,auspol
377240272,qldpol
377240272,nswpol
377240272,springst
